position,song_id,song_name,artist,streams,last_week_position,weeks_on_chart,peak_position,position_status,year,week
121,3pzjHKrQSvXGHQ98dx18HI,What Do You Mean?,Justin Bieber,297182,,1,121,new,2017,1
122,2FBUoWkIuQXwayw2RNo5l6,Hotline Bling,Drake,296661,,1,122,new,2017,1
123,2yGnStdGP0V45lPXAJpmDb,Agora Eu Quero Ir,ANAVITÓRIA,293787,,1,123,new,2017,1
124,3eGK0WFi6ISJ9UZA6Za4HX,Singular,ANAVITÓRIA,290776,,1,124,new,2017,1
125,4PdJSsESm34djLfBde9Pr2,Would I Lie to You - Radio Edit,David Guetta,286662,,1,125,new,2017,1
126,69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,Coldplay,282749,,1,126,new,2017,1
127,4PNi30UilK0CZi2z9wegMQ,Deixa a Gente Quieto - Ao Vivo,João Bosco & Vinicius,279422,,1,127,new,2017,1
128,494OU6M7NOf4ICYb4zWCf5,Sugar,Maroon 5,278927,,1,128,new,2017,1
129,0bX2gnECXZJ5nt7rcIZMVM,Amei Te Ver (Acústica) - Acústica,Tiago Iorc,272549,,1,129,new,2017,1
130,5ou59ERA2f7ffyAxAcZyVz,Perfect Illusion,Lady Gaga,267434,,1,130,new,2017,1
131,6S8yTw0KfidwuAq5Y6Bygj,Duvido Você Não Tomar Uma - Ao Vivo,Simone & Simaria,267420,,1,131,new,2017,1
132,4NpFX0f0GfJgy92c9ypVxk,De Buenas,Lucas Lucco,266096,,1,132,new,2017,1
133,19Ggp86mkEnRw93u91IJPO,Você Faz Falta Aqui - Ao Vivo | Acústico,Maiara & Maraisa,265733,,1,133,new,2017,1
134,22mek4IiqubGD9ctzxc69s,How Deep Is Your Love,Calvin Harris,265563,,1,134,new,2017,1
135,5dKyZWlgjWw1oJgLa4GCZD,Cool Girl,Tove Lo,262893,,1,135,new,2017,1
136,7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",gnash,262249,,1,136,new,2017,1
137,3HrvG1d9OZpg6eV4A1dcSk,De Tanto Te Querer - Ao Vivo,Jorge & Mateus,262212,,1,137,new,2017,1
138,3hIFGEywPETgcaxrTTt2lD,Falei pra Elas,MC G15,258330,,1,138,new,2017,1
139,4xHkRNzzHtj3O3Z1pjYWRC,Me Espera,Sandy,258264,,1,139,new,2017,1
140,7aV2mflaASUmGhCErm7kBO,The Mack,Nevada,258243,,1,140,new,2017,1
141,0L7loeTIg6akW84aEQZpCT,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,252721,,1,141,new,2017,1
142,0OwX5aROoW1Iip8FV51Efg,Alarm,Anne-Marie,252639,,1,142,new,2017,1
143,3twpVbHfTCpgHNlStxfpzx,Até Ex Duvida - Ao Vivo,Day e Lara,252458,,1,143,new,2017,1
144,0GhaUJVyWwAKDELlAAFWyo,Coração Machucado - Ao Vivo,Wesley Safadão,252452,,1,144,new,2017,1
145,3E9s5Feisg3xmzzAHdq4aa,Remexe mexe,Delano,252451,,1,145,new,2017,1
146,3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,252160,,1,146,new,2017,1
147,1Slwb6dOYkBlWal1PGtnNg,Thinking out Loud,Ed Sheeran,250383,,1,147,new,2017,1
148,0gNxi721t2RcPt5LdWGfpb,Não Me Deixe Sozinho,Nego do Borel,249658,,1,148,new,2017,1
149,2eAAEa8pxKF7My0EO4rFgR,Blow Your Mind (Mwah),Dua Lipa,248249,,1,149,new,2017,1
150,5j0tH4MzB4QyJLX8Ys9ofG,Elas Gostam,MC Kevinho,247300,,1,150,new,2017,1
151,2WTCoQLkQ9FPdvThkf8nN1,Me & You (feat. IRO),Alok,247045,,1,151,new,2017,1
152,6gquljDBW7rE6mCBzmTRxo,Raspão - Ao Vivo,Henrique & Diego,246213,,1,152,new,2017,1
153,3rq5w4bQGigXOfdN30ATJt,Do I Wanna Know?,Arctic Monkeys,246175,,1,153,new,2017,1
154,6ccKu0LwJzOhLAxBwP2PTk,Os Anjos Cantam,Jorge & Mateus,245609,,1,154,new,2017,1
155,0J1TzQOuHyS7KA6Sq33flE,Faz Parte - Ao Vivo,Projota,245440,,1,155,new,2017,1
156,7yHEDfrJNd0zWOfXwydNH0,Into You,Ariana Grande,243766,,1,156,new,2017,1
157,1yNyoWWWikbLhwIGWjZuDW,All Night,The Vamps,242068,,1,157,new,2017,1
158,21j9YxYHSzrdcLBX3mb5UL,Quando O Mel É Bom - Ao Vivo,Simone & Simaria,241902,,1,158,new,2017,1
159,5ZCwyAL9zbEJVmmNQwt9lE,Saudade do Meu Ex - Ao Vivo | Acústico,Marília Mendonça,240974,,1,159,new,2017,1
160,4DYmJ19DhmxUe26QhANDYv,Folgado - Ao Vivo,Marília Mendonça,238453,,1,160,new,2017,1
161,3GjF8PNprVtiBtQnSgcHFU,Byob,Sevenn,236507,,1,161,new,2017,1
162,68y9Wxhai4e17Ywvnz76vY,Meu Violão E O Nosso Cachorro - Ao Vivo,Simone & Simaria,235509,,1,162,new,2017,1
163,6YZdkObH88npeKrrkb8Ggf,DUELE EL CORAZON,Enrique Iglesias,235431,,1,163,new,2017,1
164,0bAtYUcHyGlOj5R3eNjHhA,"Dia, Lugar e Hora",Luan Santana,233799,,1,164,new,2017,1
165,4dASQiO1Eoo3RJvt74FtXB,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,233177,,1,165,new,2017,1
166,6BPt2sVRvE41rUixcCAHY6,A Mala É Falsa - Ao Vivo,Felipe Araújo,232069,,1,166,new,2017,1
167,5ITDkudn3l1YoZc2TP0vhN,Ela Domina o Ratatá Tum Tum - Ao Vivo,Wesley Safadão,230838,,1,167,new,2017,1
168,4RuvPSCJ7xvRVOxiFBUt9B,Tchuk Tchuk,Mc Gui,228330,,1,168,new,2017,1
169,4VrWlk8IQxevMvERoX08iC,Chandelier,Sia,226457,,1,169,new,2017,1
170,43F1e4glaVnVe3DXOU3Xum,Oitava Dose - Na Praia 2 / Ao Vivo,Matheus & Kauan,225821,,1,170,new,2017,1
171,2uhk6Fi514vtRKxKAn93zm,Amor Mal Resolvido - Ao Vivo,Simone & Simaria,225812,,1,171,new,2017,1
172,0B8B8cVRFIG1yznoQe7c9s,Setting Fires,The Chainsmokers,225201,,1,172,new,2017,1
173,5tf1VVWniHgryyumXyJM7w,Sugar (feat. Francesco Yates),Robin Schulz,225083,,1,173,new,2017,1
174,5qLTGDTTIHxxIU835qJWfT,Quero Ser Feliz Também - Ao Vivo,Natiruts,224484,,1,174,new,2017,1
175,6OZh916QF8XNunWaP97WEZ,Fast Car,Jonas Blue,223802,,1,175,new,2017,1
176,2uHlo1X8F1yPavYpqv65if,Tenebrosa,Mc Livinho,223203,,1,176,new,2017,1
177,0YAgtA9FguNwDokj8KE1jy,Vai Toma,Mc Pikachu,222405,,1,177,new,2017,1
178,1CUVN2kn7mW5FjkqXTR2W1,Perfect Strangers,Jonas Blue,221044,,1,178,new,2017,1
179,2XMTqoHHSH0lvuXrvIEdco,Capsize,FRENSHIP,220791,,1,179,new,2017,1
180,2bKuHYkbEpKgNNVQ0eGJlB,Hoje Somos Só Metade - Ao Vivo,Marília Mendonça,219259,,1,180,new,2017,1
181,6bV82DzyaNLjig0tVywear,Vou Dar Virote - Ao Vivo,Wesley Safadão,216813,,1,181,new,2017,1
182,7clSIA4MRU6LJAoCWWEiuy,Made In Roça,Loubet,215856,,1,182,new,2017,1
